   0.00,    1.00
   0.01,    1.17
   0.02,    1.33
   0.03,    1.49
   0.04,    1.66
   0.05,    1.82
   0.06,    1.99
   0.07,    2.15
   0.08,    2.31
   0.09,    2.47
   0.10,    2.63
   0.11,    2.78
   0.12,    2.94
   0.13,    3.09
   0.14,    3.24
   0.15,    3.39
   0.16,    3.54
   0.17,    3.68
   0.18,    3.83
   0.19,    3.96
   0.20,    4.10
   0.21,    4.23
   0.22,    4.36
   0.23,    4.49
   0.24,    4.61
   0.25,    4.73
   0.26,    4.85
   0.27,    4.96
   0.28,    5.07
   0.29,    5.17
   0.30,    5.27
   0.31,    5.37
   0.32,    5.46
   0.33,    5.54
   0.34,    5.63
   0.35,    5.70
   0.36,    5.78
   0.37,    5.85
   0.38,    5.91
   0.39,    5.97
   0.40,    6.02
   0.41,    6.07
   0.42,    6.12
   0.43,    6.16
   0.44,    6.19
   0.45,    6.22
   0.46,    6.25
   0.47,    6.26
   0.48,    6.28
   0.49,    6.29
   0.50,    6.29
   0.51,    6.29
   0.52,    6.29
   0.53,    6.27
   0.54,    6.26
   0.55,    6.24
   0.56,    6.21
   0.57,    6.18
   0.58,    6.15
   0.59,    6.11
   0.60,    6.06
   0.61,    6.01
   0.62,    5.96
   0.63,    5.90
   0.64,    5.84
   0.65,    5.77
   0.66,    5.70
   0.67,    5.62
   0.68,    5.54
   0.69,    5.46
   0.70,    5.37
   0.71,    5.28
   0.72,    5.19
   0.73,    5.09
   0.74,    4.99
   0.75,    4.88
   0.76,    4.77
   0.77,    4.66
   0.78,    4.55
   0.79,    4.43
   0.80,    4.31
   0.81,    4.19
   0.82,    4.07
   0.83,    3.94
   0.84,    3.82
   0.85,    3.69
   0.86,    3.55
   0.87,    3.42
   0.88,    3.29
   0.89,    3.15
   0.90,    3.02
   0.91,    2.88
   0.92,    2.74
   0.93,    2.61
   0.94,    2.47
   0.95,    2.33
   0.96,    2.19
   0.97,    2.05
   0.98,    1.91
   0.99,    1.78
   1.00,    1.64
   1.01,    1.50
   1.02,    1.37
   1.03,    1.24
   1.04,    1.10
   1.05,    0.97
   1.06,    0.84
   1.07,    0.72
   1.08,    0.59
   1.09,    0.47
   1.10,    0.35
   1.11,    0.23
   1.12,    0.12
   1.13,    0.00
   1.14,   -0.11
   1.15,   -0.21
   1.16,   -0.32
   1.17,   -0.42
   1.18,   -0.51
   1.19,   -0.61
   1.20,   -0.70
   1.21,   -0.78
   1.22,   -0.86
   1.23,   -0.94
   1.24,   -1.02
   1.25,   -1.09
   1.26,   -1.15
   1.27,   -1.21
   1.28,   -1.27
   1.29,   -1.32
   1.30,   -1.37
   1.31,   -1.41
   1.32,   -1.45
   1.33,   -1.48
   1.34,   -1.51
   1.35,   -1.53
   1.36,   -1.55
   1.37,   -1.56
   1.38,   -1.57
   1.39,   -1.57
   1.40,   -1.56
   1.41,   -1.56
   1.42,   -1.54
   1.43,   -1.52
   1.44,   -1.50
   1.45,   -1.47
   1.46,   -1.44
   1.47,   -1.40
   1.48,   -1.35
   1.49,   -1.30
   1.50,   -1.25
   1.51,   -1.19
   1.52,   -1.13
   1.53,   -1.06
   1.54,   -0.98
   1.55,   -0.90
   1.56,   -0.82
   1.57,   -0.73
   1.58,   -0.63
   1.59,   -0.54
   1.60,   -0.43
   1.61,   -0.33
   1.62,   -0.21
   1.63,   -0.10
   1.64,    0.02
   1.65,    0.15
   1.66,    0.27
   1.67,    0.41
   1.68,    0.54
   1.69,    0.68
   1.70,    0.82
   1.71,    0.97
   1.72,    1.12
   1.73,    1.27
   1.74,    1.42
   1.75,    1.58
   1.76,    1.74
   1.77,    1.90
   1.78,    2.07
   1.79,    2.24
   1.80,    2.41
   1.81,    2.58
   1.82,    2.75
   1.83,    2.92
   1.84,    3.10
   1.85,    3.28
   1.86,    3.45
   1.87,    3.63
   1.88,    3.81
   1.89,    3.99
   1.90,    4.17
   1.91,    4.35
   1.92,    4.53
   1.93,    4.71
   1.94,    4.89
   1.95,    5.07
   1.96,    5.25
   1.97,    5.43
   1.98,    5.61
   1.99,    5.78
   2.00,    5.96
   2.01,    6.13
   2.02,    6.30
   2.03,    6.47
   2.04,    6.64
   2.05,    6.81
   2.06,    6.97
   2.07,    7.13
   2.08,    7.29
   2.09,    7.45
   2.10,    7.60
   2.11,    7.75
   2.12,    7.90
   2.13,    8.04
   2.14,    8.18
   2.15,    8.32
   2.16,    8.46
   2.17,    8.59
   2.18,    8.71
   2.19,    8.84
   2.20,    8.95
   2.21,    9.07
   2.22,    9.18
   2.23,    9.29
   2.24,    9.39
   2.25,    9.49
   2.26,    9.58
   2.27,    9.67
   2.28,    9.75
   2.29,    9.83
   2.30,    9.91
   2.31,    9.98
   2.32,   10.04
   2.33,   10.10
   2.34,   10.16
   2.35,   10.21
   2.36,   10.25
   2.37,   10.29
   2.38,   10.33
   2.39,   10.36
   2.40,   10.39
   2.41,   10.41
   2.42,   10.43
